"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69493,0.61985,1.0512,92.919998,1.113,NA,29.995199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69329,0.62059,1.041,92.495003,1.0959,6.8169,30.313999,NA,NA,NA,15.282087,37.16832,45.954502,903.710022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69609,0.62536,1.0395,91.584999,1.0967,6.817,29.995199,NA,NA,NA,15.324779,37.438087,45.995007,902.77002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69425,0.62407,1.0319,92.356003,1.0864,6.8183,29.995199,NA,NA,NA,15.367461,37.516407,46.189415,893.97998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69842,0.62759,1.034,93.389999,1.0896,6.8178,29.995199,NA,NA,NA,15.350389,37.298851,46.011208,887.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69391,0.62406,1.0298,92.660004,1.081,6.8175,29.865999,NA,NA,NA,15.444299,37.594738,46.375736,895.27002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68912,0.62062,1.0338,92.092003,1.0756,6.8165,29.3137,NA,NA,NA,15.495525,37.516407,46.756458,890.450012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69077,0.61913,1.0392,91.080002,1.0864,6.8166,29.5597,NA,NA,NA,15.341853,36.915947,46.205627,881.359985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68852,0.61402,1.0308,91.432999,1.082,6.8168,29.543501,NA,NA,NA,15.435761,37.029079,46.594452,889.080017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68966,0.61222,1.0234,91.266998,1.0737,6.817,29.434999,NA,NA,NA,15.486985,36.933338,46.950871,897.98999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69488,0.61463,1.029,90.75,1.0838,6.817,29.5459,NA,NA,NA,15.307702,36.506924,46.213726,887.140015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69412,0.61151,1.0248,90.705002,1.0783,6.8168,29.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
